,ID,Zip.1,LifeOrientation.10,CFC.Future.5,CFC.Immediate.5,b5_conscientious,b5_negemotion,b5_agreeable,b5_extroversion,SoPA.9,SoNA.9,Age.1,Education.1,Wealth.6,Dospert,ContactsMask.6,TimeRiskyFriend.3,Vaccine.6,WillingnessNeigh.6,WillingnessCountry.6,Fundamental1.2.6,Fundamental_af,ConcernCovid.6,Finished.10,PoliticalOrientation.1,Optimistic1.2,Optimistic2.2,Optimistic3.2,Optimistic4.2,Optimistic5.2,Optimistic1.6,Optimistic2.6,Optimistic3.6,Optimistic4.6,Optimistic5.6,Optimistic6.6,Optimistic7.6,Optimistic8.6,Sex.1,Optimistic9.6,PositiveRightNow2.9,PositiveWorld1.9,PositiveWorld2.9,PositiveWorld3.9,PositiveWorld4.9,PositiveWorld5.9,PositiveWorld6.9,PositiveWorld8.9,PositiveWorld9.9,PositiveRightNow1.9,PositiveLife1.9,PositiveLife2.9,PositiveLife3.9,PositiveLife4.9,PositiveLife5.9,PositiveLife6.9,LifeExpectancy.9,Age.1
51,51,60560.0,6.5,34.0,26.0,3.5,3.0,3.25,1.75,3.0,3.428571429,39.0,6.0,6.0,18.0,4.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,6.5,6.0,5.0,4.0,7.0,6.0,30.0,35.0,50.0,55.0,41.0,22.0,14.0,5.0,2.0,0.0,37.0,45.0,40.0,33.0,25.0,14.0,5.0,0.0,51.0,60.0,79.0,62.0,51.0,55.0,39.0,0.0,90.0,39.0
52,52,60502.0,10.5,37.0,23.0,3.0,1.0,4.5,3.25,,,67.0,6.0,2.0,9.0,5.0,1.0,7.0,1.0,1.0,7.0,6.0,2.0,1.0,2.0,,,,,,34.0,41.0,50.0,69.0,86.0,91.0,68.0,54.0,1.0,33.0,,,,,,,,,,,,,,,,,,67.0
53,53,19444.0,7,32.0,35.0,3.75,2.75,4.5,3.75,2.833333333,5.0,51.0,5.0,2.666666667,14.0,4.0,4.0,6.0,6.0,5.0,4.0,14.0,2.0,1.0,4.0,6.0,6.0,5.0,2.0,2.0,8.0,10.0,10.0,35.0,52.0,68.0,75.0,52.0,1.0,50.0,32.0,12.0,35.0,40.0,50.0,55.0,62.0,70.0,50.0,4.0,15.0,22.0,30.0,12.0,0.0,0.0,70.0,51.0
54,54,72117.0,14.5,40.0,24.0,4.25,1.5,5.0,4.0,6.0,1.857142857,52.0,3.0,3.333333333,6.0,5.0,1.0,7.0,6.0,4.0,7.0,8.0,4.0,1.0,1.5,2.0,2.0,3.0,1.0,2.0,50.0,50.0,53.0,57.0,66.0,72.0,83.0,99.0,2.0,51.0,80.0,80.0,85.0,85.0,88.0,85.0,80.0,75.0,45.0,90.0,80.0,83.0,80.0,75.0,0.0,0.0,85.0,52.0
55,55,13367.0,,36.0,,4.5,1.0,2.5,3.0,4.5,1.428571429,63.0,2.0,5.333333333,17.0,3.0,2.0,7.0,4.0,3.0,5.0,8.0,3.0,,1.0,2.0,2.0,2.0,2.0,2.0,83.0,86.0,89.0,91.0,93.0,95.0,90.0,87.0,2.0,85.0,51.0,60.0,71.0,66.0,60.0,48.0,40.0,14.0,0.0,61.0,74.0,75.0,75.0,65.0,36.0,,90.0,63.0
56,56,2472.0,6,31.0,22.0,3.25,4.0,2.5,1.75,3.5,3.428571429,51.0,5.0,,19.0,5.0,1.0,5.0,1.0,1.0,7.0,9.0,6.0,1.0,2.5,7.0,7.0,6.0,4.0,3.0,40.0,40.0,41.0,64.0,74.0,80.0,75.0,1.0,1.0,1.0,58.0,59.0,68.0,71.0,74.0,45.0,41.0,36.0,0.0,45.0,30.0,31.0,31.0,31.0,0.0,0.0,62.0,51.0
57,57,19104.0,8,45.0,47.0,3.25,2.75,4.0,3.5,4.333333333,2.714285714,57.0,5.0,,8.0,5.0,1.0,7.0,1.0,1.0,7.0,13.0,5.0,1.0,3.0,4.0,4.0,4.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,30.0,51.0,60.0,86.0,100.0,53.0,52.0,52.0,51.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0,82.0,57.0
58,58,15206.0,,41.0,26.0,4.25,1.0,4.75,3.0,,,67.0,3.0,1.333333333,,5.0,,7.0,5.0,5.0,7.0,9.0,6.0,,1.5,6.0,6.0,7.0,5.0,4.0,63.0,87.0,100.0,100.0,84.0,100.0,55.0,32.0,2.0,33.0,,,,,,,,,,,,,,,,,,67.0
59,59,83204.0,4.5,,19.0,4.75,3.75,4.25,2.5,6.0,1.0,60.0,3.0,2.0,11.0,5.0,1.0,7.0,1.0,1.0,7.0,12.0,7.0,1.0,6.0,7.0,7.0,7.0,3.0,1.0,10.0,11.0,12.0,38.0,66.0,81.0,82.0,46.0,1.0,32.0,62.0,42.0,83.0,89.0,88.0,86.0,80.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,60.0
60,60,90210.0,8.5,29.0,21.0,3.0,2.5,2.5,2.5,3.166666667,3.0,48.0,5.0,3.0,11.0,5.0,5.0,7.0,2.0,3.0,4.0,9.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,11.0,10.0,12.0,11.0,12.0,12.0,18.0,2.0,16.0,59.0,56.0,62.0,64.0,53.0,47.0,47.0,48.0,49.0,57.0,58.0,63.0,55.0,52.0,0.0,0.0,69.0,48.0
61,61,27704.0,12.5,,,,,,,,,25.0,6.0,,30.0,,2.0,,,,,,,1.0,2.0,6.0,7.0,5.0,3.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,25.0
